Absolute Magnitude,Est Dia in KM(min),Est Dia in KM(max),Est Dia in M(min),Est Dia in M(max),Est Dia in Miles(min),Est Dia in Miles(max),Est Dia in Feet(min),Est Dia in Feet(max),Relative Velocity km per sec,Relative Velocity km per hr,Miles per hour,Miss Dist.(Astronomical),Miss Dist.(lunar),Miss Dist.(kilometers),Miss Dist.(miles),Orbit ID,Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Epoch Osculation,Eccentricity,Semi Major Axis,Inclination,Asc Node Longitude,Orbital Period,Perihelion Distance,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion,Hazardous
26.6,0.0127219879,0.028447229700000003,12.721987853900002,28.447229650300002,0.0079050743,0.0176762835,41.738806630700005,93.330808926,7.6481937469000005,27533.4974888296,17108.2445924342,0.0018084332999999998,0.7034805417000001,270537.78125,168104.375,11,6,0.00198323,5.479,2458000.5,0.2173599795229156,1.1374551312432648,7.583000560688577,347.4758044776841,443.0980494078051,0.8902179072079938,245.67159361964082,1.3846923552785357,2457845.849148406,125.64782591175292,0.8124612610710777,0
22.7,0.0766575574,0.1714115092,76.6575573531,171.4115092306,0.0476327831,0.1065101409,251.5011804664,562.3737359442,19.1428244556,68914.1680402331,42820.5840247771,0.3672206568,142.84884643549998,54935432.0,34135296.0,14,6,0.0149365,3.556,2458000.5,0.5300522878590822,2.094836798348418,4.710038548783405,176.2039262468779,1107.448956286858,0.9844637606924441,175.62819068586984,3.2052098360043915,2457652.5742213526,113.10072541225979,0.3250714156678033,0
24.0,0.042126461100000005,0.0941976306,42.1264610556,94.1976305719,0.026176161200000003,0.058531675899999996,138.21017848969998,309.0473542854,7.8199697372,28151.891053788502,17492.4903050609,0.00022762869999999998,0.088547565,34052.76953125,21159.41015625,80,0,0.00172365,6.532,2458000.5,0.08934798500351414,0.9102841634833969,11.609152880879408,146.96124960931533,317.2224446928078,0.8289521076955461,195.5895845340659,0.991616219271248,2458100.2724528154,246.7731977533194,1.134850342473772,0
17.7,0.7665755734999999,1.7141150923,766.5755735311,1714.1150923063,0.4763278307,1.0651014090000002,2515.0118046636,5623.7373594423,2.3352667062,8406.960142365699,5223.758095127199,0.3546761476,137.9690246582,53058800.0,32969208.0,121,0,0.306679,3.74,2458000.5,0.3714278254608062,2.0040012016008704,7.012588192952481,354.4759234878418,1036.204307384013,1.259659393069416,105.20886996294121,2.748343010132324,2457680.6279029893,111.13055032024928,0.3474218331603455,0
21.3,0.1460679643,0.32661789739999997,146.0679642714,326.6178974458,0.090762397,0.20295088960000002,479.2256199,1071.581062656,30.994786524499997,111581.2314880301,69332.2379765485,0.420673047,163.64181518549998,62931792.0,39104004.0,8,7,0.381816,2.1959999999999997,2458000.5,0.6111551011828642,3.2845468425444935,60.90058886272615,219.32371151811,2174.260703836509,1.2771792846493568,218.50476550543547,5.291914400439631,2458459.123108377,284.0641571985413,0.1655735208591939,0
19.6,0.3195618867,0.7145621017,319.5618867213,714.5621017269,0.1985664891,0.4440081677,1048.4314204307,2344.3639258298003,10.818216113800002,38945.5780096199,24199.2676249219,0.2517980406,97.949432373,37668452.0,23406090.0,55,1,0.175219,4.588,2458000.5,0.2779089642314824,1.4264425490884,20.8181528594977,224.03467608166332,622.2714188547402,1.030021377735527,249.4576210911956,1.8228637204412732,2458184.455871454,253.5768031166187,0.5785256868498995,0
24.8,0.0291443905,0.06516883820000001,29.144390453499998,65.1688382168,0.018109478999999998,0.0404940262,95.6180819754,213.80853117520002,8.9744514162,32308.0250982348,20074.9503728448,0.1950647838,75.8802032471,29181276.0,18132404.0,16,4,0.024837900000000003,5.502999999999999,2458000.5,0.1551877075385778,1.135946759642179,2.4723345834316,15.39358391881324,442.2169576560004,0.959661786127433,102.39952676734129,1.3122317331569242,2458078.91077698,296.1673512871855,0.8140800432172555,0
21.2,0.15295193529999998,0.3420109247,152.9519353442,342.0109247198,0.095039897,0.21251567030000001,501.81082755470004,1122.0831222578,18.6805604869,67250.0177528947,41786.5457531806,0.20830948300000002,81.03238677979999,31162656.0,19363576.0,23,6,0.0427117,3.99,2458000.5,0.5143662164320639,1.7317108656262457,5.517703356359909,261.24714579656535,832.360571619338,0.8409772997197794,87.11060288394064,2.622444431532713,2458223.3413601285,263.6200267266051,0.4325048690132313,1
18.7,0.4836764882,1.0815335068,483.67648821849997,1081.533506775,0.3005425432,0.6720335566,1586.8651696069,3548.3383903678005,13.781134126400001,49612.0828548712,30827.0189272393,0.2183508834,84.9384918213,32664828.0,20296984.0,47,0,0.07161630000000001,7.001,2458000.5,0.4221275646928601,0.8199937507658309,24.38369960352589,146.797854771499,271.2153344392641,0.4738517856916866,153.20001579170008,1.166135715839975,2457990.5085107964,13.262288877673011,1.327358575591965,0
23.1,0.06376097900000001,0.1425738833,63.7609789875,142.57388332809998,0.0396192233,0.08859127650000001,209.18957030150003,467.7620993781,12.6506242654,45542.2473552733,28298.1814191697,0.2233429257,86.88040161129999,33411626.0,20761022.0,11,0,0.19908299999999998,4.883,2458000.5,0.215015341799917,1.310150950464507,21.59624469514587,219.33928751566108,547.7475342927005,1.028448396040895,88.96478015231004,1.591853504888119,2457968.108769905,21.288718075426807,0.6572370982278606,0
26.7,0.012149404099999999,0.0271668934,12.14940408,27.1668934089,0.0075492874,0.0168807197,39.860250881700004,89.1302305717,5.7077354725,20547.8477011796,12767.633478546799,0.0263357657,10.2446136475,3939774.75,2448062.5,3,9,0.026087,4.1739999999999995,2457609.5,0.38131371154041105,1.6618173239803609,3.067134563872493,140.04931599134278,782.4801874768103,1.028143592271256,148.01577343397318,2.295491055689467,2457581.51184902,12.87666386175853,0.4600755466548718,0
